,P-Value
Tumor_PanCK,1.887091473499005e-29
Naive immune cell_PanCK,0.32136279580802085
CD4 T cell_PanCK,7.123808765353552e-12
CD8 T cell_PanCK,2.069621453091966e-07
Tumor_aSMA,2.322497176928692e-17
Naive immune cell_aSMA,0.04341806367753106
CD4 T cell_aSMA,3.3822856694596517e-16
CD8 T cell_aSMA,3.257586645697002e-05
Tumor_CD45,0.9412804085570126
Naive immune cell_CD45,0.3963736393262667
CD4 T cell_CD45,6.608724314168714e-05
CD8 T cell_CD45,0.03214233221870162
Tumor_Vimentin,6.019689123964297e-07
Naive immune cell_Vimentin,0.18334805048930922
CD4 T cell_Vimentin,0.9668399862292316
CD8 T cell_Vimentin,0.03450888762504451
